Rana pipiens HOFFMAN Color polymorphism microsats_CAMPB01
RP193
Rpi101
RP415
Rpi100
Rpi103
Rpi104
Rpi106
Rpi107
Rpi108
Pop
CAMPB01_1   , 160168 173201 149165 181217 177207 226226 365385 157379 293293
CAMPB01_10  , 164176 161165 135178 181205 157161 226246 320385 383383 254296
CAMPB01_11  , 168176 181185 174174 205205 177193 226254 320397 207355 274278
CAMPB01_12  , 164176 161161 165174 189197 193223 226246 397413 157207 276278
CAMPB01_13  , 164168 181197 135170 185197 169207 226226 286344 148395 238278
CAMPB01_14  , 164180 197201 153161 201209 169207 226254 332350 182182 278278
CAMPB01_15  , 168180 173177 135153 197205 146219 226226 350405 207207 250281
CAMPB01_16  , 168176 161181 135161 197237 137207 226226 332350 148227 268268
CAMPB01_18  , 168172 165177 157174 189193 137169 226242 286328 153211 280280
CAMPB01_19  , 160176 177185 149178 197229 146207 226226 307311 348387 248268
CAMPB01_2   , 172204 165173 149161 177181 131185 226254 311324 165367 238278
CAMPB01_20  , 168168 165177 135157 193193 146169 226258 278401 153207 274274
CAMPB01_21  , 168176 165173 157170 189189 131169 226238 352389 355355 238238
CAMPB01_22  , 168188 185197 170178 189225 146223 238250 316344 148387 289289
CAMPB01_23  , 168184 161177 174174 177185 131177 226246 340357 148148 238278
CAMPB01_24  , 180184 161193 178178 177185 131169 226226 298354 161355 254278
CAMPB01_25  , 164184 177205 135165 185193 137177 226226 290354 157395 268293
CAMPB01_26  , 160172 157189 170170 197205 137177 226226 298340 148148 285287
CAMPB01_27  , 160168 161165 153157 185189 137137 226226 324336 153395 238268
CAMPB01_28  , 168168 177201 135178 197209 146161 246246 332438 144144 268274
CAMPB01_29  , 156172 157161 161174 173189 165223 226226 307393 161161 250274
CAMPB01_3   , 164172 185185 157161 189233 173177 226226 397434 161227 248293
CAMPB01_30  , 164168 157161 161170 185197 167169 226238 298377 199383 268268
CAMPB01_31  , 168168 165197 149170 189217 131137 226246 340413 207207 238274
CAMPB01_32  , 156180 177177 157161 177205 137223 226226 286401 161161 268274
CAMPB01_33  , 160172 178181 161178 169185 146157 226226 311316 207207 248278
CAMPB01_34  , 160168 161173 157174 177197 167177 226238 286302 144207 274293
CAMPB01_35  , 168176 157189 135178 177193 131177 250254 298352 207379 268278
CAMPB01_36  , 168176 165185 157157 185189 137177 246254 320336 144203 248274
CAMPB01_37  , 168168 161161 161170 185221 146185 218218 350369 379500 252268
CAMPB01_38  , 156168 165201 135161 189201 213239 226226 332385 157207 274280
CAMPB01_39  , 168172 157169 153170 181185 131169 226226 316324 183339 250294
CAMPB01_4   , 168188 157173 161178 169225 144185 226246 290361 387391 268268
CAMPB01_40  , 168176 161198 161178 177201 146165 226226 294320 207379 277280
CAMPB01_41  , 168168 177193 135174 181201 161169 246250 286290 211395 268289
CAMPB01_42  , 164176 165181 174178 177205 146181 226254 332417 207383 266268
CAMPB01_5   , 168184 169185 165178 193193 146207 226287 320385 348367 268274
CAMPB01_6   , 176184 161165 157174 181205 177193 242250 324332 367387 238278
CAMPB01_7   , 160168 161165 149178 177181 144199 226291 307320 203500 248274
CAMPB01_8   , 164176 169185 135170 205209 131146 226226 385389 148231 283294
CAMPB01_9   , 168172 157169 165174 161237 169177 226226 298316 148211 274274
