Rana pipiens microsat data from Eric Hoffman - Binned and edited by Ivan for Ranid Ne study          
RP193          
RP415          
Rpi100          
Rpi101          
Rpi103          
Rpi104          
Rpi106          
Rpi107          
Rpi108          
Pop          
PR01 , 000000 181000 206206 186000 146174 230000 353353 209217 270000
PR02 , 000000 181000 206206 186000 146174 230000 353353 217000 270000
PR03 , 155159 181000 206206 186000 146174 230000 353353 217000 270000
PR04 , 000000 181000 206206 186000 150174 230000 353353 209217 270000
PR05 , 000000 181000 206206 186000 174174 230000 353353 209217 270000
PR06 , 155159 181000 206210 186000 146174 230000 353353 217000 270000
PR07 , 000000 181000 206210 186000 174174 230000 353353 209217 270000
PR08 , 000000 181205 202206 186000 174174 230000 353353 209217 270000
PR09 , 000000 181000 202206 186000 146146 230000 353353 217000 270000
PR10 , 155159 181000 206210 186000 146174 230000 353353 209217 270000
PR11 , 143159 181000 202210 186000 174174 230000 353353 209000 270000
PR12 , 155159 181209 206210 186000 146174 230000 000000 209000 270000
PR13 , 000000 181000 206210 186000 174174 230000 353353 209217 270000
PR14 , 155159 181000 202210 186000 174174 230000 353353 209217 270000
PR15 , 000000 181000 206210 186000 174174 230000 353353 217000 270000
PR16 , 155159 181205 206210 186000 150174 230000 353353 209217 270000
PR17 , 000000 181000 202210 186000 174174 230000 353353 209000 270000
PR18 , 155159 181193 206210 186000 174174 230000 353353 209217 270000
PR19 , 143159 181000 198210 186000 174174 230000 353353 209000 270000
PR20 , 000000 181185 186206 186000 174174 230000 353353 217000 270000
PR21 , 155159 181000 206206 186000 174174 230000 353353 209217 270000
PR22 , 155159 181000 206206 186000 146174 230000 353353 217000 270000
PR23 , 000000 181000 210210 186000 174174 230000 353353 209000 270000
PR24 , 143159 181000 210210 186000 174174 230000 353353 209000 270000
PR25 , 155159 181000 206210 186000 174174 230000 353353 209000 270000
PR26 , 000000 181205 206210 186000 150174 230000 353353 209217 270000
PR27 , 155159 181000 206206 186000 146174 230000 353353 209000 270000
PR28 , 000000 181000 202202 186000 174174 230000 353353 209217 270000
